zone,feature_set,fold,dataset_split,sample,model,rmse,mae,r2
NO_4,autoregressive,fold_4,validation,all,xgb,5.069665100098342,1.8641459876336433,0.7474267343165963
NO_4,autoregressive,fold_4,validation,spike_hours,lgbm,41.62384162665481,31.971776273998785,-2.847459405122523
NO_4,autoregressive,fold_4,validation,spike_hours,xgb,44.351318291885775,36.73626349312919,-3.3682027895498097
NO_4,exogenous,final_test,test,all,lgbm,23.98343239800151,19.267303497408125,-0.09572580294953026
NO_4,exogenous,final_test,test,all,xgb,25.28564676620274,21.009312668956706,-0.21794407585357045
NO_4,exogenous,final_test,test,spike_hours,lgbm,74.35359625058314,67.17958424372465,-4.448336987709141
NO_4,exogenous,final_test,test,spike_hours,xgb,71.97188308544564,65.00299762368789,-4.104882325102621
NO_4,exogenous,fold_1,validation,all,lgbm,7.757401286053789,6.23369503763956,0.20041081974549924
NO_4,exogenous,fold_1,validation,all,xgb,7.092580143855746,5.778014849897852,0.33159006438362126
NO_4,exogenous,fold_2,validation,all,lgbm,24.871138065728463,17.802863222819614,-13.644177678806663
NO_4,exogenous,fold_2,validation,all,xgb,25.680435955230156,18.86359614662502,-14.612715898917298
NO_4,exogenous,fold_3,validation,all,lgbm,19.064791258908812,14.600454839864556,-0.8165626253594791
NO_4,exogenous,fold_3,validation,all,xgb,20.122164437069046,16.397022369423638,-1.0236511724362147
NO_4,exogenous,fold_3,validation,spike_hours,lgbm,130.56218726988084,123.51588191338136,-8.971363971068554
NO_4,exogenous,fold_3,validation,spike_hours,xgb,124.23350673632855,116.49532963472255,-8.028117926935078
NO_4,exogenous,fold_4,validation,all,lgbm,24.85074788664636,23.98702932419775,-5.068869018733598
NO_4,exogenous,fold_4,validation,all,xgb,25.90763648686027,25.049596562315692,-5.5960574134259895
NO_4,exogenous,fold_4,validation,spike_hours,lgbm,57.64197995343429,54.2377351556501,-6.3784902108547
NO_4,exogenous,fold_4,validation,spike_hours,xgb,56.211389478751336,52.25100616455078,-6.016788184130365
NO_4,full,final_test,test,all,lgbm,6.0318832026941855,2.8118651316120373,0.9306917295964973
NO_4,full,final_test,test,all,xgb,6.454581491226467,2.9606399574294047,0.9206374907755773
NO_4,full,final_test,test,spike_hours,lgbm,22.306596311660073,17.380840162807996,0.5096269214248075
NO_4,full,final_test,test,spike_hours,xgb,24.073684060344696,19.263321029212086,0.4288566598429021
NO_4,full,fold_1,validation,all,lgbm,1.5727980035824587,1.0951171392611898,0.9671314692242685
NO_4,full,fold_1,validation,all,xgb,1.5397145647531558,1.04570643515704,0.968499689911158
NO_4,full,fold_2,validation,all,lgbm,2.642366091616432,2.0245349349633557,0.8347050261946558
NO_4,full,fold_2,validation,all,xgb,2.8018624964655054,2.152072516740468,0.8141479700145107
NO_4,full,fold_3,validation,all,lgbm,5.0356079795363335,2.223246301863057,0.8732668902343157
NO_4,full,fold_3,validation,all,xgb,5.5450979465323575,2.5915445159220374,0.8463244737217488
NO_4,full,fold_3,validation,spike_hours,lgbm,38.57188913003006,28.16293827202112,0.1297148874254065
NO_4,full,fold_3,validation,spike_hours,xgb,44.170190717033094,37.41601711497587,-0.14124341259273532
NO_4,full,fold_4,validation,all,lgbm,5.209780462235587,2.6226344904181347,0.7332725683996868
NO_4,full,fold_4,validation,all,xgb,5.437244191592182,2.6157244251871776,0.7094729906117938
NO_4,full,fold_4,validation,spike_hours,lgbm,41.26193292496873,31.56179115814786,-2.7808449084304603
NO_4,full,fold_4,validation,spike_hours,xgb,42.52051929666131,31.85076763970511,-3.015011976145722
NO_5,autoregressive,final_test,test,all,lgbm,7.837382265742282,3.7439412172248505,0.9324719241384157
NO_5,autoregressive,final_test,test,all,xgb,7.429869033966469,3.8493781413776347,0.9393117474692403
NO_5,autoregressive,final_test,test,spike_hours,lgbm,36.77326012586155,27.216576019449878,0.08661821075665854
NO_5,autoregressive,final_test,test,spike_hours,xgb,32.40251497777411,22.76954802757086,0.29083789433914664
